ensembl_ids,Gene,expression
ENSG00000223972,DDX11L1,2.617164812233698e-06
ENSG00000227232,WASH7P,5.20904335904301e-05
ENSG00000278267,MIR6859-1,1.7197082537937342e-05
ENSG00000243485,MIR1302-2HG,2.6365123663448946e-05
ENSG00000238009,AL627309.1,2.5096175834603074e-06
ENSG00000233750,CICP27,0.00014538730842364851
ENSG00000268903,AL627309.7,0.0017377468809302496
ENSG00000269981,AL627309.8,7.844071530728667e-07
ENSG00000239906,AL627309.2,6.971363940725237e-07
ENSG00000241860,AL627309.5,0.00010361964034798023
ENSG00000241599,AL627309.4,2.0837214313879876e-05
ENSG00000279928,FO538757.2,2.486899588153132e-05
ENSG00000279457,FO538757.1,0.0024440769921056926
ENSG00000228463,AP006222.1,8.067624185059685e-05
ENSG00000236601,AL732372.1,1.6522021074446718e-05
ENSG00000237094,AL732372.2,0.0001589264297113654
ENSG00000284733,OR4F29,6.924192998017784e-07
ENSG00000278757,U6,6.327854212681164e-07
ENSG00000230021,AL669831.3,0.002568870034467961
ENSG00000225972,MTND1P23,0.20602510922721454
ENSG00000225630,MTND2P28,0.08512046879955701
ENSG00000237973,MTCO1P12,0.37804925228868214
ENSG00000278791,MIR6723,0.001779879789475152
ENSG00000229344,MTCO2P12,0.0263733532545822
ENSG00000240409,MTATP8P1,0.005463776810626898
ENSG00000248527,MTATP6P1,0.8337629650320325
ENSG00000198744,MTCO3P12,0.016675125607954606
ENSG00000268663,WBP1LP6,1.0255564900165024e-06
ENSG00000284662,OR4F16,1.1548058215079697e-06
ENSG00000228327,AL669831.1,0.004278255094374929
ENSG00000223181,RNU6-1199P,0.0001440840320096218
ENSG00000229905,AL669831.2,9.250997793839946e-06
ENSG00000237491,AL669831.5,0.006324932644409793
ENSG00000230092,AL669831.4,0.00353575505349519
ENSG00000177757,FAM87B,0.00025461559874072136
ENSG00000228794,LINC01128,0.01562704668114228
ENSG00000225880,LINC00115,0.007963579247838684
ENSG00000230368,FAM41C,5.904543409737276e-05
ENSG00000234711,TUBB8P11,0.0003758936702849626
ENSG00000283040,AL669831.6,1.600961175946785e-05
ENSG00000272438,AL645608.7,4.688209433619964e-05
ENSG00000230699,AL645608.3,0.0003148420125528771
ENSG00000223764,AL645608.1,5.108473435809303e-05
ENSG00000187634,SAMD11,0.0006866937027163138
ENSG00000188976,NOC2L,0.10203406267932483
ENSG00000187961,KLHL17,0.002121978287634972
ENSG00000187583,PLEKHN1,0.00478503974773048
ENSG00000187642,PERM1,4.369194311948377e-05
ENSG00000272512,AL645608.8,0.00013387385609218785
ENSG00000188290,HES4,0.01056254395267128
ENSG00000187608,ISG15,0.21358929574489594
ENSG00000231702,AL645608.4,0.0004606479882828093
ENSG00000224969,AL645608.2,0.0003117270178855896
ENSG00000188157,AGRN,0.0014746190822084568
ENSG00000217801,AL390719.1,0.003376984760896968
ENSG00000273443,AL645608.9,0.00011699092413307101
ENSG00000237330,RNF223,9.070130389383329e-05
ENSG00000131591,C1orf159,0.008767239516600966
ENSG00000223823,LINC01342,0.0003469083472477256
ENSG00000207607,MIR200A,2.9852435545763e-06
ENSG00000272141,AL390719.2,7.758095411450736e-05
ENSG00000205231,TTLL10-AS1,0.00016277821383222805
ENSG00000162571,TTLL10,0.0012744072365811526
ENSG00000186891,TNFRSF18,0.03731052175031176
ENSG00000186827,TNFRSF4,0.024438472689195936
ENSG00000078808,SDF4,0.15784315498811857
ENSG00000176022,B3GALT6,0.009217005322820373
ENSG00000184163,C1QTNF12,0.0028155388842735973
ENSG00000260179,AL162741.1,0.001901614897568444
ENSG00000160087,UBE2J2,0.11591319526944842
ENSG00000230415,LINC01786,0.0012591356727560715
ENSG00000162572,SCNN1D,0.0017134577667872822
ENSG00000131584,ACAP3,0.041989704061831744
ENSG00000169972,PUSL1,0.024242503102868795
ENSG00000127054,INTS11,0.09931784921458789
ENSG00000240731,AL139287.1,0.0002897743376836713
ENSG00000224051,CPTP,0.024482122422861203
ENSG00000169962,TAS1R3,0.006337900258326304
ENSG00000107404,DVL1,0.007531905446999839
ENSG00000162576,MXRA8,0.0005625699629620483
ENSG00000175756,AURKAIP1,0.352917805314064
ENSG00000223663,NDUFB4P8,0.00015202337272057775
ENSG00000221978,CCNL2,0.08379869934703622
ENSG00000224870,AL391244.1,0.0269621592015028
ENSG00000242485,MRPL20,0.24135527440479823
ENSG00000272455,AL391244.3,0.0014598747573992504
ENSG00000235098,ANKRD65,0.002699895346268022
ENSG00000225905,AL391244.2,7.184887960777685e-06
ENSG00000205116,TMEM88B,1.4113275580841997e-05
ENSG00000225285,LINC01770,0.0014995587802591867
ENSG00000179403,VWA1,0.000592529297461754
ENSG00000215915,ATAD3C,0.008192176128172182
ENSG00000160072,ATAD3B,0.02718642061310155
ENSG00000284740,AL645728.2,0.0029072125034872442
ENSG00000197785,ATAD3A,0.04333176729934556
ENSG00000205090,TMEM240,0.00031974205662014095
ENSG00000160075,SSU72,0.3424011085714613
ENSG00000215014,AL645728.1,0.017432252610368387
ENSG00000274481,AL691432.3,7.698684904815829e-07
ENSG00000228594,FNDC10,0.003374669734122498
ENSG00000272106,AL691432.2,0.02475935293893729
ENSG00000197530,MIB2,0.09794403186866216
ENSG00000189409,MMP23B,0.0017153918701556645
ENSG00000248333,CDK11B,0.19111084086554392
ENSG00000272004,FO704657.1,0.0013487903384624847
ENSG00000189339,SLC35E2B,0.044713933020830154
ENSG00000269737,AL691432.1,0.002644130211722638
ENSG00000215914,MMP23A,0.0013243448504778957
ENSG00000008128,CDK11A,0.0429212073130267
ENSG00000268575,AL031282.2,0.001772520541895314
ENSG00000227775,AL031282.1,0.009304216580598481
ENSG00000215790,SLC35E2,0.004866696495030608
ENSG00000008130,NADK,0.05478996051741498
ENSG00000078369,GNB1,0.1257053805249078
ENSG00000231050,AL109917.1,0.0018259724144757325
ENSG00000169885,CALML6,0.0004469463414612359
ENSG00000178821,TMEM52,0.007171204039228282
ENSG00000142609,CFAP74,0.00022324700252543801
ENSG00000233542,AL391845.2,0.00011706317257319045
ENSG00000187730,GABRD,0.0010783933373334418
ENSG00000226969,AL391845.1,7.935713685063612e-05
ENSG00000067606,PRKCZ,0.014208352575743837
ENSG00000271806,AL590822.2,0.0023272710220356074
ENSG00000182873,PRKCZ-AS1,0.0004800981301481703
ENSG00000162585,FAAP20,0.2289500864488738
ENSG00000234396,AL590822.1,6.642211058403648e-05
ENSG00000157933,SKI,0.030864149631400193
ENSG00000116151,MORN1,0.006865055192195412
ENSG00000272161,AL589739.1,4.5622356862752766e-05
ENSG00000269896,AL513477.1,0.00022969262707712396
ENSG00000272420,AL513477.2,0.0013519521245533334
ENSG00000157916,RER1,0.18473219445773534
ENSG00000157911,PEX10,0.0289057488553226
ENSG00000149527,PLCH2,0.0074725134348097655
ENSG00000224387,AL139246.1,0.00010229998978112624
ENSG00000229393,AL139246.4,2.6120700243024786e-05
ENSG00000157881,PANK4,0.010619085647964053
ENSG00000197921,HES5,0.00019533098644127937
ENSG00000272449,AL139246.5,0.03313157610994365
ENSG00000238164,TNFRSF14-AS1,0.01253400422033987
ENSG00000157873,TNFRSF14,0.19977632590702601
ENSG00000225931,AL139246.2,6.63810179893127e-05
ENSG00000228037,AL139246.3,0.00424505489978141
ENSG00000157870,FAM213B,0.01999644802084991
ENSG00000142606,MMEL1,0.002928061496017368
ENSG00000237058,AL831784.1,4.498867903229049e-06
ENSG00000215912,TTC34,0.0029236008329982205
ENSG00000283259,AC242022.1,9.114293918953211e-07
ENSG00000177133,LINC00982,0.0008582897574212568
ENSG00000142611,PRDM16,0.0015033564938806063
ENSG00000279839,AL512383.1,0.00016633050030837433
ENSG00000130762,ARHGEF16,0.0004443420515859283
ENSG00000272088,AL512413.1,5.335024785121537e-06
ENSG00000162591,MEGF6,0.006397428772678333
ENSG00000207776,MIR551A,0.00014296167760871218
ENSG00000238260,AL513320.1,0.0012562355695990846
ENSG00000158109,TPRG1L,0.015290514965142523
ENSG00000116213,WRAP73,0.0323220890547548
ENSG00000078900,TP73,0.0007421401616219166
ENSG00000227589,AL136528.1,0.0001083875286635053
ENSG00000235131,AL136528.2,8.638745774598127e-07
ENSG00000227372,TP73-AS1,0.013157069150890623
ENSG00000276189,TP73-AS1,8.84148123857033e-07
ENSG00000162592,CCDC27,7.007334118368038e-05
ENSG00000235169,SMIM1,0.08135927034475442
ENSG00000130764,LRRC47,0.06370370835065842
ENSG00000266075,RN7SL574P,0.0009823556153735677
ENSG00000272153,AL365330.1,0.0003161070334109744
ENSG00000116198,CEP104,0.033694910151617866
ENSG00000169598,DFFB,0.008569452063446599
ENSG00000198912,C1orf174,0.06755353563598224
ENSG00000236423,LINC01134,0.000995825743302703
ENSG00000233304,LINC01346,6.976811164349783e-07
ENSG00000284668,AL805961.1,0.0
ENSG00000284703,AL805961.2,0.0002386144868588807
ENSG00000229280,EEF1DP6,7.26412981748581e-05
ENSG00000235054,LINC01777,6.448793906851538e-05
ENSG00000232596,LINC01646,1.349651678797922e-06
ENSG00000196581,AJAP1,0.0003543732748637142
ENSG00000284692,Z98259.3,1.18799575180414e-05
ENSG00000236948,AL365255.1,9.97192569879449e-05
ENSG00000131697,NPHP4,0.003031322083968137
ENSG00000069424,KCNAB2,0.07742431001471621
ENSG00000116254,CHD5,0.000214471564894276
ENSG00000116251,RPL22,1.782661770071302
ENSG00000226944,AL031847.1,0.0014087548136428399
ENSG00000158286,RNF207,0.004649201404390624
ENSG00000116237,ICMT,0.026069953572005033
ENSG00000225077,LINC00337,0.00031950423960682074
ENSG00000158292,GPR153,0.0016013431441024295
ENSG00000097021,ACOT7,0.0390430048241147
ENSG00000271746,AL031848.2,0.003352577307461096
ENSG00000069812,HES2,0.00034241012222732285
ENSG00000187017,ESPN,0.003521368741140967
ENSG00000231868,AL031848.1,1.0900449232004966e-05
ENSG00000215788,TNFRSF25,0.05095510580576956
ENSG00000171680,PLEKHG5,0.0007308108345439125
ENSG00000162408,NOL9,0.03553586479808603
ENSG00000253022,RNU6-731P,0.00021069439961658127
ENSG00000229519,AL591866.1,0.0003177259391772428
ENSG00000173662,TAS1R1,0.00020215985971715002
ENSG00000204859,ZBTB48,0.025225463988525525
ENSG00000162413,KLHL21,0.015125289260010635
ENSG00000116273,PHF13,0.009656397975049913
ENSG00000041988,THAP3,0.023644226736256053
ENSG00000007923,DNAJC11,0.021454552188515663
ENSG00000228750,LINC01672,0.00012019996886790198
ENSG00000284744,AL591163.1,0.0006360764309647493
ENSG00000237436,AL590128.2,0.0028516173395993455
ENSG00000171735,CAMTA1,0.2255589525614466
ENSG00000227950,AL590128.1,0.001829272901107158
ENSG00000237365,AL512330.1,2.0239068102715204e-06
ENSG00000207056,RNU1-8P,9.262584691376625e-05
ENSG00000237402,CAMTA1-IT1,0.00040035153090554686
ENSG00000225126,AL365194.1,6.494526912449925e-07
ENSG00000270171,AL359881.3,2.1358582021743392e-06
ENSG00000270035,AL359881.2,1.3203943905994362e-05
ENSG00000269978,AL359881.1,2.9053918037139477e-05
ENSG00000049245,VAMP3,0.08702219596930913
ENSG00000269925,Z98884.2,0.00012779674736001262
ENSG00000049246,PER3,0.0064132332835080364
ENSG00000236266,Z98884.1,0.0006190578088925187
ENSG00000049247,UTS2,0.004748217404994648
ENSG00000049249,TNFRSF9,0.006309140818692478
ENSG00000270330,AL009183.1,1.0517285513092897e-05
ENSG00000116288,PARK7,0.579044331397329
ENSG00000200344,Y_RNA,3.7065623733464496e-06
ENSG00000284747,AL034417.4,0.0013303900985712452
ENSG00000284716,AL034417.3,0.0005691745279494041
ENSG00000116285,ERRFI1,0.002315899560926482
ENSG00000238290,AL034417.2,7.26997590650821e-05
ENSG00000232848,AL034417.1,0.00012722593107485279
ENSG00000229305,AL358876.1,9.467159673347072e-07
ENSG00000227634,LINC01714,0.0
ENSG00000200975,RNU1-7P,5.560867326234334e-06
ENSG00000233645,AL358876.2,6.285381069963998e-06
ENSG00000162426,SLC45A1,0.0009440805759887942
ENSG00000252254,Y_RNA,2.773888419531951e-06
ENSG00000142599,RERE,0.09113857017031737
ENSG00000232912,AL096855.1,0.002340475197083184
ENSG00000221083,SNORA77,0.0022478239552583545
ENSG00000270282,AL096855.2,9.711565196214775e-06
ENSG00000234619,RPL7P11,0.00019128769417875446
ENSG00000224315,RPL7P7,0.0021908581755789264
ENSG00000222511,Y_RNA,0.0003263262634780923
ENSG00000226545,AL357552.1,0.0001256558499725153
ENSG00000228423,AL357552.2,0.0004782969658013566
ENSG00000229716,RPL23AP19,0.0007254879559955693
ENSG00000074800,ENO1,0.7100353496415275
ENSG00000274258,MIR6728,1.760780027585237e-05
ENSG00000236269,ENO1-IT1,0.005931556091776916
ENSG00000230679,ENO1-AS1,0.007330704696609506
ENSG00000201725,RNU6-304P,1.3142669558874331e-05
ENSG00000238249,HMGN2P17,0.00013588296782732608
ENSG00000232208,AL139415.1,0.0004198715531466795
ENSG00000232663,AL139415.2,0.00019262639736033243
ENSG00000131686,CA6,0.0006875084688674958
ENSG00000265141,RN7SL451P,1.3065670957855348e-06
ENSG00000197241,SLC2A7,7.126399395929184e-05
ENSG00000142583,SLC2A5,0.012042187697391325
ENSG00000252404,SCARNA16,5.9749975272487586e-05
ENSG00000180758,GPR157,0.003888180508511141
ENSG00000228526,MIR34AHG,0.0003846811289674536
ENSG00000234546,LINC01759,0.00037729636772253016
ENSG00000281937,Z98044.1,0.0
ENSG00000049239,H6PD,0.01724190225026437
ENSG00000171621,SPSB1,0.004059896816865408
ENSG00000284652,BX323043.1,0.00010415764908040208
ENSG00000284693,AL928921.2,0.00044528491395924775
ENSG00000171612,SLC25A33,0.0733251515775919
ENSG00000231181,AL954705.1,0.0012991829571546987
ENSG00000188807,TMEM201,0.008007668241459345
ENSG00000171608,PIK3CD,0.04301491409673223
ENSG00000179840,PIK3CD-AS1,0.0022391362040902357
ENSG00000233268,AL691449.1,0.0003944557606051343
ENSG00000231789,PIK3CD-AS2,0.01402834672730283
ENSG00000171603,CLSTN1,0.059444270229765346
ENSG00000271264,MZT1P1,2.004615648080029e-06
ENSG00000280113,AL357140.3,1.2636757544117114e-05
ENSG00000178585,CTNNBIP1,0.078839625764106
ENSG00000223989,AL357140.1,7.564597971005631e-05
ENSG00000162441,LZIC,0.05857878417841026
ENSG00000228150,AL357140.2,0.0013780270507725487
ENSG00000173614,NMNAT1,0.008140754619879382
ENSG00000202415,RN7SKP269,0.0003847972402581945
ENSG00000283611,AL357140.4,1.5519263147975187e-05
ENSG00000265521,MIR5697,2.9600893217970486e-05
ENSG00000162444,RBP7,0.03347855919855647
ENSG00000130939,UBE4B,0.0418204449649368
ENSG00000224340,AL590639.1,0.00014492072815690854
ENSG00000233623,PGAM1P11,8.810955036356713e-05
ENSG00000201746,RNU6-828P,2.899336452953451e-05
ENSG00000054523,KIF1B,0.017806806867676123
ENSG00000264881,MIR1273D,0.0001470438045154359
ENSG00000199562,RNU6-37P,0.0029729195645943817
ENSG00000284735,AL139424.3,0.0015441333359506512
ENSG00000284642,AL139424.2,0.0005823860410600901
ENSG00000142657,PGD,0.12668826031897748
ENSG00000271989,AL139424.1,0.0003294635585656839
ENSG00000251503,CENPS-CORT,0.0009581230031991643
ENSG00000175279,CENPS,0.01742530389622386
ENSG00000241563,CORT,0.00023096153199730907
ENSG00000160049,DFFA,0.05299045358385358
ENSG00000203469,AL354956.1,0.0005122390222303304
ENSG00000142655,PEX14,0.02623000874051026
ENSG00000243267,RN7SL614P,2.2955370306070627e-05
ENSG00000130940,CASZ1,0.015636610831799253
ENSG00000272078,AL139423.1,0.00043504411795376133
ENSG00000175262,C1orf127,0.00020422157623605535
ENSG00000215785,CFL1P6,5.119594639576722e-05
ENSG00000120948,TARDBP,0.10526359267532825
ENSG00000277726,AL109811.4,0.00010955135599033383
ENSG00000009724,MASP2,0.0006880492770246097
ENSG00000271895,AL109811.3,0.0013860556978865393
ENSG00000116649,SRM,0.19694812382970536
ENSG00000171824,EXOSC10,0.04700365263436522
ENSG00000226849,AL109811.1,0.0015519480366492644
ENSG00000230337,AL109811.2,0.0011152121764358266
ENSG00000198793,MTOR,0.01708543486893177
ENSG00000225602,MTOR-AS1,6.508840631015898e-05
ENSG00000253086,RNU6-537P,2.63223669857585e-06
ENSG00000171819,ANGPTL7,7.975036922809002e-05
ENSG00000207451,RNU6-291P,1.889698445925855e-05
ENSG00000238173,RPL39P6,0.0003597105205699336
ENSG00000120942,UBIAD1,0.03253038367256522
ENSG00000238199,UBE2V2P3,0.0003934944257447829
ENSG00000284646,AL031291.1,4.138846634305082e-06
ENSG00000204624,DISP3,0.00019205862190574408
ENSG00000235643,LINC01647,1.1416279968606042e-05
ENSG00000284708,AL031731.1,0.0007217273788618124
