Gene,ensembl_ids
AL627309.1,ENSG00000238009
AL669831.5,ENSG00000237491
LINC00115,ENSG00000225880
FAM41C,ENSG00000230368
NOC2L,ENSG00000188976
KLHL17,ENSG00000187961
PLEKHN1,ENSG00000187583
AL645608.8,ENSG00000272512
HES4,ENSG00000188290
ISG15,ENSG00000187608
AGRN,ENSG00000188157
C1orf159,ENSG00000131591
TTLL10,ENSG00000162571
TNFRSF18,ENSG00000186891
TNFRSF4,ENSG00000186827
SDF4,ENSG00000078808
B3GALT6,ENSG00000176022
C1QTNF12,ENSG00000184163
AL162741.1,ENSG00000260179
UBE2J2,ENSG00000160087
SCNN1D,ENSG00000162572
ACAP3,ENSG00000131584
PUSL1,ENSG00000169972
INTS11,ENSG00000127054
CPTP,ENSG00000224051
TAS1R3,ENSG00000169962
DVL1,ENSG00000107404
MXRA8,ENSG00000162576
AURKAIP1,ENSG00000175756
CCNL2,ENSG00000221978
MRPL20,ENSG00000242485
AL391244.3,ENSG00000272455
ANKRD65,ENSG00000235098
ATAD3C,ENSG00000215915
ATAD3B,ENSG00000160072
ATAD3A,ENSG00000197785
TMEM240,ENSG00000205090
SSU72,ENSG00000160075
AL645728.1,ENSG00000215014
FNDC10,ENSG00000228594
AL691432.2,ENSG00000272106
MIB2,ENSG00000197530
MMP23B,ENSG00000189409
CDK11B,ENSG00000248333
FO704657.1,ENSG00000272004
SLC35E2B,ENSG00000189339
CDK11A,ENSG00000008128
SLC35E2A,
NADK,ENSG00000008130
GNB1,ENSG00000078369
AL109917.1,ENSG00000231050
PRKCZ,ENSG00000067606
AL590822.2,ENSG00000271806
PRKCZ-AS1,ENSG00000182873
FAAP20,ENSG00000162585
SKI,ENSG00000157933
MORN1,ENSG00000116151
RER1,ENSG00000157916
PEX10,ENSG00000157911
PLCH2,ENSG00000149527
PANK4,ENSG00000157881
AL139246.5,ENSG00000272449
TNFRSF14-AS1,ENSG00000238164
TNFRSF14,ENSG00000157873
AL139246.3,ENSG00000228037
FAM213B,ENSG00000157870
MMEL1,ENSG00000142606
TTC34,ENSG00000215912
MEGF6,ENSG00000162591
AL513320.1,ENSG00000238260
TPRG1L,ENSG00000158109
WRAP73,ENSG00000116213
SMIM1,ENSG00000235169
LRRC47,ENSG00000130764
CEP104,ENSG00000116198
DFFB,ENSG00000169598
C1orf174,ENSG00000198912
LINC01134,ENSG00000236423
AJAP1,ENSG00000196581
NPHP4,ENSG00000131697
KCNAB2,ENSG00000069424
CHD5,ENSG00000116254
RPL22,ENSG00000116251
RNF207,ENSG00000158286
ICMT,ENSG00000116237
GPR153,ENSG00000158292
ACOT7,ENSG00000097021
AL031848.2,ENSG00000271746
ESPN,ENSG00000187017
TNFRSF25,ENSG00000215788
PLEKHG5,ENSG00000171680
NOL9,ENSG00000162408
ZBTB48,ENSG00000204859
KLHL21,ENSG00000162413
PHF13,ENSG00000116273
THAP3,ENSG00000041988
DNAJC11,ENSG00000007923
CAMTA1-DT,
CAMTA1,ENSG00000171735
